全国地方公共団体コード,ID,地方公共団体名,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,口径,備考
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0007509713997,141.1038199868910,,中-5
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0008666580519,141.1036188212210,,中-6
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0010104844362,141.1028222051390,,中-7
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0012731231494,141.1019518283120,,中-8
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0018286216654,141.1021529939930,,中-9
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0015753649077,141.1030770150030,,中-10
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0019411799313,141.1023514774670,,中-11
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0024299725637,141.1024171915910,,中-12
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0027593064082,141.1028087941190,,中-13
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0037681423353,141.1036563721630,,中-14
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0017171054432,141.1009795275160,,中-15
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0012168435285,141.1006496157970,,中-16
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0018088197438,141.1002633776870,,中-17
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0027415891247,141.1002218035910,,中-18
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0032699792834,141.0997269360200,,中-19
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0023893268223,141.0995485691060,,中-20
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0018932384851,141.0994198230700,,中-21
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0014200753382,141.0990925935670,,中-22
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0006634246260,141.0984917787600,,中-23
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,38.9949059440493,141.0958176161000,,中-24
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0009239801606,141.1004323561430,,中-25
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,38.9973865958832,141.1063265105190,,中-26
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,38.9998025421975,141.0994426209940,,中-27
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,38.9993731392833,141.0980961520350,,中-28
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,38.9987832271926,141.0986808736180,,中-29
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,38.9977201222971,141.0973209936050,,中-30
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,38.9966444940474,141.0961622792740,,中-31
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字衣関中尊寺内,岩手県,西磐井郡平泉町,平泉字衣関,中尊寺内,,39.0010219487950,141.1016822654520,,中-32
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字大沢毛越寺内,岩手県,西磐井郡平泉町,平泉字大沢,毛越寺内,,38.9870058844285,141.1084847264910,,毛-1
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字大沢毛越寺内,岩手県,西磐井郡平泉町,平泉字大沢,毛越寺内,,38.9871184662727,141.1077337079440,,毛-2
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字大沢毛越寺内,岩手県,西磐井郡平泉町,平泉字大沢,毛越寺内,,38.9872852538608,141.1073126011150,,毛-3
034029,,岩手県西磐井郡平泉町,消火栓,034029,,岩手県西磐井郡平泉町平泉字大沢毛越寺内,岩手県,西磐井郡平泉町,平泉字大沢,毛越寺内,,38.9884277382891,141.1092518382580,,毛-4
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字泉屋47番地,岩手県,西磐井郡平泉町,平泉字泉屋,47番地,,38.9872433599192,141.1166606845680,,1-1
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字泉屋73番地4,岩手県,西磐井郡平泉町,平泉字泉屋,73番地4,,38.9879567889926,141.1170246703650,,1-2
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字泉屋104番地2,岩手県,西磐井郡平泉町,平泉字泉屋,104番地2,,38.9893130391384,141.1185765048490,,1-3
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字伽羅楽9番地2,岩手県,西磐井郡平泉町,平泉字伽羅楽,9番地2,,38.9906983025644,141.1183167214140,,1-4
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字花立215番地,岩手県,西磐井郡平泉町,平泉字花立,215番地,,38.9911011702187,141.1165600054090,,1-5
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字花立206番地,岩手県,西磐井郡平泉町,平泉字花立,206番地,,38.9928975056351,141.1169304766420,,1-6
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字柳の御所138番地14,岩手県,西磐井郡平泉町,平泉字柳の御所,138番地14,,38.9922340063362,141.1182758938000,,1-7
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字柳の御所,岩手県,西磐井郡平泉町,平泉字柳の御所,,,38.9936474165689,141.1181887220400,,1-8
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字花立110番地3,岩手県,西磐井郡平泉町,平泉字花立,110番地3,,38.9955562479182,141.1130776582150,,1-9
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字花立9番地5,岩手県,西磐井郡平泉町,平泉字花立,9番地5,,38.9950267994068,141.1102015349880,,1-10
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字鈴沢38番地1,岩手県,西磐井郡平泉町,平泉字鈴沢,38番地1,,38.9913810773186,141.1148989790870,,1-11
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字志羅山8番地34,岩手県,西磐井郡平泉町,平泉字志羅山,8番地34,,38.9880635052510,141.1149523410600,,1-12
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字志羅山117番地12,岩手県,西磐井郡平泉町,平泉字志羅山,117番地12,,38.9876268043872,141.1126101042140,,1-13
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字倉町137番地,岩手県,西磐井郡平泉町,平泉字倉町,137番地,,38.9860517163460,141.1113287133660,,1-14
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字志羅山26番地13,岩手県,西磐井郡平泉町,平泉字志羅山,26番地13,,38.9867423232096,141.1147832317470,,1-15
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字志羅山3番地5,岩手県,西磐井郡平泉町,平泉字志羅山,3番地5,,38.9886646388890,141.1163905865060,,1-16
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字鈴沢61番地,岩手県,西磐井郡平泉町,平泉字鈴沢,61番地,,38.9889273818975,141.1144912815350,,1-17
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字泉屋20番地,岩手県,西磐井郡平泉町,平泉字泉屋,20番地,,38.9862096991306,141.1170874066590,,1-18
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字大沢1番地1,岩手県,西磐井郡平泉町,平泉字大沢,1番地1,,38.9908834311963,141.1110674233390,,1-19
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字志羅山56番地9,岩手県,西磐井郡平泉町,平泉字志羅山,56番地9,,38.9861708011101,141.1129035355790,,1-20
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字志羅山127番地6,岩手県,西磐井郡平泉町,平泉字志羅山,127番地6,,38.9894908222076,141.1116911225950,,1-21
034029,,岩手県西磐井郡平泉町,防火水槽,034029,,岩手県西磐井郡平泉町平泉字鈴沢66番地1,岩手県,西磐井郡平泉町,平泉字鈴沢,66番地1,,38.9907255720883,141.1146136607050,,1-23
